protocol,seed,family,in_train,in_test,scored,recall,precision,support
capture-aware (file-proportion),8,Web-Based,True,True,True,0.2701342281879195,0.45224719101123595,596
capture-aware (size-matched),8,Benign,True,True,True,0.299722479185939,0.5694200351493849,1081
capture-aware (size-matched),8,Brute Force,False,True,False,,,2000
capture-aware (size-matched),8,DDOS,True,True,True,0.7334076965978806,0.2621610845295056,1793
capture-aware (size-matched),8,DOS,True,True,True,0.8329972150196869,0.976087323468182,20826
capture-aware (size-matched),8,Mirai,True,True,True,0.20652173913043478,0.2857142857142857,552
capture-aware (size-matched),8,Recon,True,False,False,,,0
capture-aware (size-matched),8,Spoofing,True,False,False,,,0
capture-aware (size-matched),8,Web-Based,True,False,False,,,0
capture-aware (file-proportion),2718,Benign,True,True,True,0.19763313609467456,0.6313799621928167,1690
capture-aware (file-proportion),2718,Brute Force,False,True,False,,,2000
capture-aware (file-proportion),2718,DDOS,True,True,True,0.5802380952380952,0.8441288534811223,8400
capture-aware (file-proportion),2718,DOS,True,True,True,0.9931204435773694,0.8391462779802187,19478
capture-aware (file-proportion),2718,Mirai,True,True,True,0.2597701149425287,0.2516703786191537,435
capture-aware (file-proportion),2718,Recon,True,False,False,,,0
capture-aware (file-proportion),2718,Spoofing,True,True,True,0.3697478991596639,0.033409263477600606,119
capture-aware (file-proportion),2718,Web-Based,True,True,True,0.31711409395973156,0.27958579881656803,596
capture-aware (size-matched),2718,Benign,True,True,True,0.49372384937238495,0.1638888888888889,239
capture-aware (size-matched),2718,Brute Force,True,False,False,,,0
capture-aware (size-matched),2718,DDOS,True,True,True,0.8530695373872563,0.5934021453147136,3437
capture-aware (size-matched),2718,DOS,True,True,True,0.9133929043515042,0.9691988330341114,18913
capture-aware (size-matched),2718,Mirai,True,True,True,0.3657957244655582,0.36666666666666664,421
capture-aware (size-matched),2718,Recon,True,False,False,,,0
capture-aware (size-matched),2718,Spoofing,True,True,True,0.1496232508073197,0.38186813186813184,929
capture-aware (size-matched),2718,Web-Based,True,True,True,0.07321225879682179,0.9347826086956522,1762
capture-aware (file-proportion),31415,Benign,True,False,False,,,0
capture-aware (file-proportion),31415,Brute Force,True,False,False,,,0
capture-aware (file-proportion),31415,DDOS,True,True,True,0.7212205270457698,0.7027027027027027,1442
capture-aware (file-proportion),31415,DOS,True,True,True,0.9665098256296706,0.9930530164533821,25291
capture-aware (file-proportion),31415,Mirai,True,True,True,0.1989247311827957,0.21264367816091953,372
capture-aware (file-proportion),31415,Recon,True,False,False,,,0
capture-aware (file-proportion),31415,Spoofing,True,True,True,0.2773109243697479,0.14798206278026907,119
capture-aware (file-proportion),31415,Web-Based,True,True,True,0.2600671140939597,0.6224899598393574,596
capture-aware (size-matched),31415,Benign,True,False,False,,,0
capture-aware (size-matched),31415,Brute Force,False,True,False,,,2000
capture-aware (size-matched),31415,DDOS,True,True,True,0.5972222222222222,0.13333333333333333,144
capture-aware (size-matched),31415,DOS,True,True,True,0.9904606064826098,0.9919456066945607,28723
capture-aware (size-matched),31415,Mirai,True,True,True,0.23588039867109634,0.3380952380952381,301
capture-aware (size-matched),31415,Recon,True,False,False,,,0
capture-aware (size-matched),31415,Spoofing,True,False,False,,,0
capture-aware (size-matched),31415,Web-Based,True,True,True,0.35294117647058826,0.1731958762886598,238
capture-aware (file-proportion),161803,Benign,True,True,True,0.22852081488042517,0.3739130434782609,1129
capture-aware (file-proportion),161803,Brute Force,True,False,False,,,0
capture-aware (file-proportion),161803,DDOS,True,True,True,0.449592290585619,0.35385064177362896,5396
capture-aware (file-proportion),161803,DOS,True,True,True,0.7276376408338275,0.8643259644560035,21923
capture-aware (file-proportion),161803,Mirai,True,True,True,0.26517571884984026,0.07039864291772689,313
capture-aware (file-proportion),161803,Recon,True,False,False,,,0
