single_class_test,protocol,seed,max_depth,mean_realised_depth,test_rows,accuracy,f1_macro,benign_recall,benign_precision,benign_f1,attack_recall,roc_auc,FP,FN
True,capture-aware,31337,16,16.0,40326,0.9624311858354412,0.49042799196330417,,0.0,0.0,0.9624311858354412,,0,1515
True,capture-aware,31337,20,20.0,40326,0.9724247383821852,0.49300980638672365,,0.0,0.0,0.9724247383821852,,0,1112
True,capture-aware,31337,25,25.0,40326,0.9815999603233646,0.4953572769365536,,0.0,0.0,0.9815999603233646,,0,742
True,capture-aware,31337,30,30.0,40326,0.9869067103109657,0.49670510708401977,,0.0,0.0,0.9869067103109657,,0,528
True,capture-aware,31337,None,57.3,40326,0.9939493130982493,0.49848273803601634,,0.0,0.0,0.9939493130982493,,0,244
False,random,31337,6,6.0,25172,0.8733116160813602,0.5815409673950731,0.9836734693877551,0.13158613158613158,0.2321213580544185,0.8711206547281419,0.9627467095743573,8,3181
False,random,31337,8,8.0,25172,0.896273637374861,0.6056886561127595,0.9714285714285714,0.1548974943052392,0.26719056974459726,0.894781622234827,0.9683946327903173,14,2597
False,random,31337,10,10.0,25172,0.9152629906245034,0.6294815680076483,0.9510204081632653,0.18097087378640778,0.30407830342577485,0.9145531156308241,0.970204676960323,24,2109
False,random,31337,12,12.0,25172,0.9269823613538852,0.6450492533566323,0.9183673469387755,0.2001779359430605,0.3287070854638422,0.9271533911352402,0.9716850170908653,40,1798
False,random,31337,16,16.0,25172,0.94366756713809,0.6678949892321889,0.8326530612244898,0.23394495412844038,0.36526410026857653,0.945871485292926,0.9732736324413892,82,1336
False,random,31337,20,20.0,25172,0.9539170506912442,0.6846771663121171,0.7673469387755102,0.26441631504922647,0.39330543933054396,0.9576209383356292,0.973391788447005,114,1046
False,random,31337,25,25.0,25172,0.9651199745749245,0.710667984807966,0.7020408163265306,0.31970260223048325,0.4393358876117497,0.9703427599060044,0.9732251793838027,146,732
False,random,31337,30,30.0,25172,0.9729461306213253,0.722180281632344,0.5877551020408164,0.3754889178617992,0.45823389021479716,0.9805931448018799,0.974619941161782,202,479
False,random,31337,None,60.1,25172,0.9815270935960592,0.6953095684803001,0.3163265306122449,0.543859649122807,0.4,0.9947330038084434,0.9549700351739432,335,130
