protocol,seed,max_depth,single_class_test,mean_realised_depth,test_rows,accuracy,f1_macro,benign_recall,benign_precision,attack_recall,roc_auc,FP,FN
random,123,12,False,12.0,25172,0.9302002224694105,0.6494463172514822,0.9061224489795918,0.2060324825986079,0.9306782270480513,0.9720274131855157,46,1711
random,123,20,False,20.0,25172,0.9542348641347529,0.6918028772574227,0.8081632653061225,0.2723521320495186,0.9571347540717932,0.9721748808104393,94,1058
random,123,25,False,25.0,25172,0.9640473542030827,0.7001019952789418,0.6653061224489796,0.3055295220243674,0.9699781217081274,0.9744548204177547,164,741
random,123,30,False,30.0,25172,0.9728269505800096,0.7224621645879112,0.5918367346938775,0.37467700258397935,0.9803905680252816,0.9734616981060311,200,484
random,123,None,False,62.0,25172,0.981924360400445,0.7048605272813824,0.3346938775510204,0.5597269624573379,0.9947735191637631,0.9634850812539586,326,129
capture-aware (file-proportion),123,6,False,6.0,19215,0.9054905022118137,0.7352047380194517,0.8813108945969885,0.37168472170339933,0.9069998894172288,0.9465947901508265,134,1682
capture-aware (file-proportion),123,10,False,10.0,19215,0.9212073900598491,0.736855430576966,0.7165633303808681,0.4038941587618572,0.9339820855910649,0.9420883708160607,320,1194
capture-aware (file-proportion),123,12,False,12.0,19215,0.9204787926099401,0.6939772027893776,0.5119574844995571,0.37170418006430866,0.9459803162667256,0.9319242567765249,551,977
capture-aware (file-proportion),123,20,False,20.0,19215,0.9387457715326568,0.7001979476149682,0.39769707705934454,0.47463002114164904,0.9725201813557448,0.8291780232756654,680,497
capture-aware (file-proportion),123,25,False,25.0,19215,0.9467083008066615,0.6947983489091006,0.325066430469442,0.5834658187599364,0.9855136569722437,0.8197926901164175,762,262
capture-aware (file-proportion),123,30,False,30.0,19215,0.9480614103564923,0.6698357202615122,0.25597874224977857,0.6465324384787472,0.9912639610748646,0.7794195472139949,840,158
capture-aware (file-proportion),123,None,False,57.7,19215,0.9462919594067135,0.5928057059949876,0.12400354295837024,0.7650273224043715,0.9976224704191087,0.7501467743867578,989,43
capture-aware (size-matched),123,6,True,6.0,35799,0.878180954775273,0.46756993917039724,,,0.878180954775273,,0,4361
capture-aware (size-matched),123,10,True,10.0,35799,0.9121763177742395,0.4770356735910246,,,0.9121763177742395,,0,3144
capture-aware (size-matched),123,12,True,12.0,35799,0.9275398754155144,0.4812039881745986,,,0.9275398754155144,,0,2594
capture-aware (size-matched),123,20,True,20.0,35799,0.9518980977122266,0.4876781727631805,,,0.9518980977122266,,0,1722
capture-aware (size-matched),123,25,True,25.0,35799,0.9598592139445236,0.4897592679693847,,,0.9598592139445236,,0,1437
capture-aware (size-matched),123,30,True,30.0,35799,0.9695801558702757,0.4922775815853295,,,0.9695801558702757,,0,1089
capture-aware (size-matched),123,None,True,58.1,35799,0.9854465208525378,0.4963349606764495,,,0.9854465208525378,,0,521
random,2024,6,False,6.0,25172,0.8754568568250437,0.5836940997373077,0.9836734693877551,0.13355500138542534,0.8733084839154039,0.9581223365288097,8,3127
random,2024,10,False,10.0,25172,0.9127602097568727,0.6261684882374537,0.9551020408163265,0.17713853141559424,0.9119196175350458,0.9665388228056802,22,2174
random,2024,12,False,12.0,25172,0.9265850945494994,0.6436087445344821,0.9122448979591836,0.19849023090586146,0.9268697836480025,0.9684936060154553,43,1805
random,2024,20,False,20.0,25172,0.9491101223581757,0.6701358969847622,0.7571428571428571,0.2420091324200913,0.952921157118548,0.9698333826683578,119,1162
random,2024,25,False,25.0,25172,0.9585253456221198,0.6818489210796569,0.6673469387755102,0.2706953642384106,0.9643059719633741,0.970805916564827,163,881
random,2024,30,False,30.0,25172,0.9693310027014143,0.7066182040589165,0.5918367346938775,0.33642691415313225,0.976825216757151,0.9721939809065187,200,572
random,2024,None,False,60.1,25172,0.981249006832989,0.7017038344812072,0.33877551020408164,0.5286624203821656,0.9940037274126894,0.9603602724616302,324,148
capture-aware (file-proportion),2024,6,True,6.0,20095,0.8794725055984076,0.4679358186824825,,,0.8794725055984076,,0,2422
capture-aware (file-proportion),2024,10,True,10.0,20095,0.9254540930579747,0.4806419931768841,,,0.9254540930579747,,0,1498
capture-aware (file-proportion),2024,12,True,12.0,20095,0.9479472505598407,0.4866390762313509,,,0.9479472505598407,,0,1046
capture-aware (file-proportion),2024,20,True,20.0,20095,0.9689474993779548,0.4921144416923621,,,0.9689474993779548,,0,624
capture-aware (file-proportion),2024,25,True,25.0,20095,0.9765613336650908,0.49407084770512855,,,0.9765613336650908,,0,471
capture-aware (file-proportion),2024,30,True,30.0,20095,0.98397611346106,0.49596167352262466,,,0.98397611346106,,0,322
capture-aware (file-proportion),2024,None,True,62.3,20095,0.995222692211993,0.49880281338853694,,,0.995222692211993,,0,96
capture-aware (size-matched),2024,6,False,6.0,25204,0.903070941120457,0.6252568868817667,0.9447415329768271,0.18014955812372535,0.9021223065373534,0.9557694573699598,31,2412
capture-aware (size-matched),2024,10,False,10.0,25204,0.9251309315981591,0.6542355410992509,0.8983957219251337,0.2159383033419023,0.9257395609300816,0.961380094197909,57,1830
capture-aware (size-matched),2024,12,False,12.0,25204,0.933383589906364,0.6650323290085376,0.8609625668449198,0.2317658349328215,0.9350322606825467,0.9630276859796757,78,1601
capture-aware (size-matched),2024,20,False,20.0,25204,0.950087287732106,0.6731329506922854,0.6648841354723708,0.25848925848925847,0.9565799618552936,0.9647362916421544,188,1070
capture-aware (size-matched),2024,25,False,25.0,25204,0.9595699095381686,0.6805755106136988,0.5614973262032086,0.28952205882352944,0.9686320659010672,0.9626806265847062,246,773
capture-aware (size-matched),2024,30,False,30.0,25204,0.9660371369623869,0.6774901512819538,0.45276292335115864,0.3163138231631382,0.9777218682790245,0.9567609058062139,307,549
capture-aware (size-matched),2024,None,False,61.9,25204,0.9757578162196476,0.6494115088158994,0.24598930481283424,0.4233128834355828,0.9923710587185002,0.9352027161773874,423,188
random,31337,6,False,6.0,25172,0.8733116160813602,0.5815409673950731,0.9836734693877551,0.13158613158613158,0.8711206547281419,0.9627467095743573,8,3181
random,31337,10,False,10.0,25172,0.9152629906245034,0.6294815680076483,0.9510204081632653,0.18097087378640778,0.9145531156308241,0.970204676960323,24,2109
random,31337,12,False,12.0,25172,0.9269823613538852,0.6450492533566323,0.9183673469387755,0.2001779359430605,0.9271533911352402,0.9716850170908653,40,1798
random,31337,20,False,20.0,25172,0.9539170506912442,0.6846771663121171,0.7673469387755102,0.26441631504922647,0.9576209383356292,0.973391788447005,114,1046
random,31337,25,False,25.0,25172,0.9651199745749245,0.710667984807966,0.7020408163265306,0.31970260223048325,0.9703427599060044,0.9732251793838027,146,732
random,31337,30,False,30.0,25172,0.9729461306213253,0.722180281632344,0.5877551020408164,0.3754889178617992,0.9805931448018799,0.974619941161782,202,479
random,31337,None,False,60.1,25172,0.9815270935960592,0.6953095684803001,0.3163265306122449,0.543859649122807,0.9947330038084434,0.9549700351739432,335,130
capture-aware (file-proportion),31337,6,True,6.0,40326,0.8803749442047314,0.46819116948884315,,,0.8803749442047314,,0,4824
capture-aware (file-proportion),31337,10,True,10.0,40326,0.9253087338193721,0.48060278207109736,,,0.9253087338193721,,0,3012
capture-aware (file-proportion),31337,12,True,12.0,40326,0.9402618657937807,0.48460565162378744,,,0.9402618657937807,,0,2409
capture-aware (file-proportion),31337,20,True,20.0,40326,0.9724247383821852,0.49300980638672365,,,0.9724247383821852,,0,1112
capture-aware (file-proportion),31337,25,True,25.0,40326,0.9815999603233646,0.4953572769365536,,,0.9815999603233646,,0,742
capture-aware (file-proportion),31337,30,True,30.0,40326,0.9869067103109657,0.49670510708401977,,,0.9869067103109657,,0,528
capture-aware (file-proportion),31337,None,True,57.3,40326,0.9939493130982493,0.49848273803601634,,,0.9939493130982493,,0,244
capture-aware (size-matched),31337,6,False,6.0,30322,0.9424180463030143,0.6724539867811565,0.9340463458110517,0.23466188983430364,0.9425758543059709,0.9726214864097643,37,1709
capture-aware (size-matched),31337,10,False,10.0,30322,0.955675746982389,0.7010494498260366,0.8859180035650623,0.27968486212718063,0.9569906925170525,0.9755721172854136,64,1280
capture-aware (size-matched),31337,12,False,12.0,30322,0.9602268979618759,0.7110381355396477,0.8538324420677362,0.29881472239550844,0.9622324518665367,0.9770416678421034,82,1124
capture-aware (size-matched),31337,20,False,20.0,30322,0.9677461908845063,0.7043946605520032,0.6452762923351159,0.3172655565293602,0.9738248042740499,0.9783468968258775,199,779
capture-aware (size-matched),31337,25,False,25.0,30322,0.9739133302552602,0.7106224012172229,0.5418894830659536,0.3627684964200477,0.9820570545344578,0.973445789543446,257,534
capture-aware (size-matched),31337,30,False,30.0,30322,0.9775410592968802,0.7025013190167092,0.43315508021390375,0.400990099009901,0.9878028292060078,0.971250822281682,318,363
capture-aware (size-matched),31337,None,False,59.7,30322,0.9812677264032715,0.6497537992069091,0.22638146167557932,0.48659003831417624,0.9954974631228789,0.9487582625720379,434,134
random,1,6,False,6.0,25172,0.8757746702685524,0.5827142515121317,0.9693877551020408,0.13242263730136605,0.8739162142451989,0.9628052914707735,15,3112
random,1,10,False,10.0,25172,0.9139917368504688,0.6259762395096476,0.936734693877551,0.17701504049363673,0.9135402317478324,0.9694675868889003,31,2134
random,1,12,False,12.0,25172,0.9264261878277451,0.643082661636083,0.9102040816326531,0.19787045252883761,0.9267482375820436,0.9711944092117035,44,1808
random,1,20,False,20.0,25172,0.9520498967106309,0.6837956966992234,0.7959183673469388,0.2605210420841683,0.9551495016611296,0.9713983089386797,100,1107
random,1,25,False,25.0,25172,0.9636103607182583,0.7064825513483479,0.710204081632653,0.31016042780748665,0.9686411149825784,0.9713285646484509,142,774
random,1,30,False,30.0,25172,0.9721118703321151,0.729719755506862,0.6448979591836734,0.3744075829383886,0.9786078923912163,0.969962659725587,174,528
random,1,None,False,60.9,25172,0.9816462736373749,0.6937740956650633,0.31020408163265306,0.5507246376811594,0.9949760959403614,0.9626258249835871,338,124
capture-aware (file-proportion),1,6,False,6.0,32693,0.8085522894809286,0.5189790594669829,0.9518716577540107,0.07892403192432752,0.8060500435702727,0.9512310016635923,27,6232
capture-aware (file-proportion),1,10,False,10.0,32693,0.8858777108249473,0.5769080414576594,0.9126559714795008,0.12207916070577014,0.8854101829951451,0.9599317143875986,49,3682
capture-aware (file-proportion),1,12,False,12.0,32693,0.9246627718471844,0.6216061024140856,0.8663101604278075,0.16910229645093947,0.9256815635503548,0.9602441788140854,75,2388
capture-aware (file-proportion),1,20,False,20.0,32693,0.9602667237634968,0.675518903052026,0.6844919786096256,0.2549800796812749,0.9650815386530561,0.9551436165833761,177,1122
capture-aware (file-proportion),1,25,False,25.0,32693,0.9691677117425749,0.687376044380523,0.5757575757575758,0.29551692589204026,0.976036350056019,0.9536539947848813,238,770
capture-aware (file-proportion),1,30,False,30.0,32693,0.9752546416664117,0.6846727675913885,0.44563279857397503,0.3342245989304813,0.984501431594672,0.9457725962401529,311,498
capture-aware (file-proportion),1,None,False,57.0,32693,0.9811580460649069,0.661888657917326,0.27450980392156865,0.42424242424242425,0.9934955807294908,0.9194454781335369,407,209
capture-aware (size-matched),1,6,False,6.0,29481,0.8926427190393813,0.7272921923385238,0.8898305084745762,0.36230321328445114,0.8928351393469358,0.962819468536911,208,2957
capture-aware (size-matched),1,10,False,10.0,29481,0.9355517112716665,0.777594944424763,0.7245762711864406,0.4978165938864629,0.9499873156235277,0.954670380506724,520,1380
capture-aware (size-matched),1,12,False,12.0,29481,0.9530884298361657,0.7968499558632386,0.5942796610169492,0.6451983898792409,0.977639256333128,0.9492185556457147,766,617
capture-aware (size-matched),1,20,False,20.0,29481,0.9528170686204674,0.7429707449780868,0.3845338983050847,0.7602094240837697,0.9917007936795564,0.9200588191889738,1162,229
capture-aware (size-matched),1,25,False,25.0,29481,0.9509853804145043,0.7033035960506407,0.2913135593220339,0.837138508371385,0.9961222049070416,0.8832755478852105,1338,107
capture-aware (size-matched),1,30,False,30.0,29481,0.9461687188358604,0.640245507206359,0.1875,0.8697788697788698,0.9980792229913383,0.838346826095663,1534,53
capture-aware (size-matched),1,None,False,52.5,29481,0.9395203690512534,0.5458256324096176,0.06620762711864407,0.8620689655172413,0.9992751784872975,0.7422258573778538,1763,20
random,99,6,False,6.0,25172,0.8758541236294295,0.5835399486084722,0.9775510204081632,0.13331477873643194,0.8738351835345596,0.9614957773077629,11,3114
random,99,10,False,10.0,25172,0.9163356109963452,0.6302196783486101,0.9428571428571428,0.18188976377952756,0.9158090916457338,0.967862558685252,28,2078
random,99,12,False,12.0,25172,0.9264261878277451,0.6435722400558901,0.9142857142857143,0.19840566873339238,0.9266672068714042,0.969239336606533,42,1810
random,99,20,False,20.0,25172,0.9495073891625616,0.6754764903073925,0.7857142857142857,0.24822695035460993,0.9527590956972692,0.9717356199428155,105,1166
random,99,25,False,25.0,25172,0.9606705863658033,0.6919980357308916,0.6857142857142857,0.28668941979522183,0.9661291629527591,0.9722455759712523,154,836
random,99,30,False,30.0,25172,0.9705228031145717,0.7113716720072791,0.5897959183673469,0.3481927710843373,0.9780811927720606,0.971328854043846,201,541
