task,seed,variant,depth,n_features,accuracy,f1_macro,benign_recall
multiclass,2024,no_ports,25,70,0.9039408866995073,0.5882759036551293,
multiclass,2024,no_timing_pair,25,70,0.9131972032416972,0.6115515762835524,
multiclass,2024,no_arbitrary_pair,25,70,0.913872556809153,0.6133226857239993,
multiclass,31337,full,25,72,0.9118862227872239,0.5949803111426506,
multiclass,31337,no_ports,25,70,0.9039408866995073,0.5734438561574362,
multiclass,31337,no_timing_pair,25,70,0.911210869219768,0.5960802691664584,
multiclass,31337,no_arbitrary_pair,25,70,0.9125615763546798,0.5997374575379882,
multiclass,1,full,25,72,0.9167726044811696,0.6224547479150485,
multiclass,1,no_ports,25,70,0.9066820276497696,0.5955036889850253,
multiclass,1,no_timing_pair,25,70,0.9158191641506436,0.6224132187194265,
multiclass,1,no_arbitrary_pair,25,70,0.9161369775941522,0.6207341679477092,
multiclass,99,full,25,72,0.9151040839027491,0.6191225364904285,
multiclass,99,no_ports,25,70,0.9061258541236294,0.5964102648877997,
multiclass,99,no_timing_pair,25,70,0.913594470046083,0.6123575767497553,
multiclass,99,no_arbitrary_pair,25,70,0.9149054505005562,0.6175451663083427,
multiclass,555,full,25,72,0.916057524233275,0.6170019579555551,
multiclass,555,no_ports,25,70,0.9061258541236294,0.5885807309547753,
multiclass,555,no_timing_pair,25,70,0.9157397107897665,0.6146689294149656,
multiclass,555,no_arbitrary_pair,25,70,0.9165739710789766,0.6171784916466221,
multiclass,8,full,25,72,0.9156999841093278,0.6194025104571406,
multiclass,8,no_ports,25,70,0.9064833942475766,0.5933529024231932,
multiclass,8,no_timing_pair,25,70,0.9139520101700301,0.6157533679539934,
multiclass,8,no_arbitrary_pair,25,70,0.9149054505005562,0.614918270850646,
multiclass,2718,full,25,72,0.9168917845224853,0.6298755871725996,
multiclass,2718,no_ports,25,70,0.9080327347846814,0.6017749523558753,
multiclass,2718,no_timing_pair,25,70,0.9151438105831877,0.6217050714595824,
multiclass,2718,no_arbitrary_pair,25,70,0.9174479580486254,0.6303098763274461,
multiclass,31415,full,25,72,0.9163356109963452,0.6262678645875641,
multiclass,31415,no_ports,25,70,0.90807246146512,0.6031228284987241,
multiclass,31415,no_timing_pair,25,70,0.9147068170983632,0.6207434044775318,
multiclass,31415,no_arbitrary_pair,25,70,0.9164547910376609,0.6277892361108748,
multiclass,161803,full,25,72,0.9176068647703798,0.6271045682924505,
multiclass,161803,no_ports,25,70,0.9097409820435405,0.6040890966413653,
multiclass,161803,no_timing_pair,25,70,0.9163356109963452,0.6250188473758433,
multiclass,161803,no_arbitrary_pair,25,70,0.9178452248530112,0.6265767857489049,
multiclass,271828,full,25,72,0.9152629906245034,0.6208284182213086,
multiclass,271828,no_ports,25,70,0.9070792944541554,0.5990263800415816,
multiclass,271828,no_timing_pair,25,70,0.9139122834895916,0.6182664220044719,
multiclass,271828,no_arbitrary_pair,25,70,0.9160972509137136,0.6228629927505753,
multiclass,4,full,25,72,0.9151438105831877,0.6191454151336804,
multiclass,4,no_ports,25,70,0.9043778801843319,0.5922636919605503,
multiclass,4,no_timing_pair,25,70,0.9136739234069601,0.6133979612987325,
multiclass,4,no_arbitrary_pair,25,70,0.9147068170983632,0.6164268576747525,
multiclass,77,full,25,72,0.9134752900047672,0.6115827481221334,
multiclass,77,no_ports,25,70,0.9039011600190688,0.5876969599236022,
multiclass,77,no_timing_pair,25,70,0.9129588431590656,0.6110008357676032,
multiclass,77,no_arbitrary_pair,25,70,0.9135150166852057,0.6106085879877148,
multiclass,42,full,None,72,0.9129588431590656,0.6043529343456053,
multiclass,42,no_ports,None,70,0.9036230732559988,0.5854323684125682,
multiclass,42,no_timing_pair,None,70,0.9125218496742412,0.6047149965148654,
multiclass,42,no_arbitrary_pair,None,70,0.9133561099634514,0.6043715189255998,
multiclass,7,full,None,72,0.9163356109963452,0.6194772904501085,
multiclass,7,no_ports,None,70,0.9065231209280152,0.5926608425323981,
multiclass,7,no_timing_pair,None,70,0.9150246305418719,0.6165829687525624,
multiclass,7,no_arbitrary_pair,None,70,0.9159383441919593,0.6167979080450534,
multiclass,123,full,None,72,0.9149849038614334,0.6015515361878314,
multiclass,123,no_ports,None,70,0.9046162402669633,0.5770987835505618,
multiclass,123,no_timing_pair,None,70,0.9139917368504688,0.6042937702794258,
multiclass,123,no_arbitrary_pair,None,70,0.9148657238201175,0.6012997004679854,
multiclass,2024,full,None,72,0.9139917368504688,0.607837568643029,
multiclass,2024,no_ports,None,70,0.9040600667408232,0.5863639978677198,
multiclass,2024,no_timing_pair,None,70,0.91311774988082,0.6061275687252909,
multiclass,2024,no_arbitrary_pair,None,70,0.9141903702526617,0.6091351024484433,
multiclass,31337,full,None,72,0.9118067694263468,0.5934695389426157,
